Airline,Total,"Cessna 421","Britten-Norman BN-2 Islander","Pilatus PC-12","Beechcraft Super King Air 200","Dassault Falcon 50","Beechcraft 1900D","Cessna Caravan","Let L-410UVP-E20","Yakovlev Yak-40","Let L-410NG","Britten-Norman MKIII Trislander","Short 330-200","Short 360-200","Bombardier DHC-6-400","Bombardier Global 5000","Saab 340","Antonov An-140","Ilyushin Il-114-300","Cessna Citation X","Ilyushin Il-114-100","Dornier 328-110","Embraer EMB120 Brasilia","CASA CN-235","Tupolev Tu-134","Bombardier Global 7500","Embraer ERJ135","Antonov An148","Yakovlev Yak-42","Fokker 50","Embraer ERJ140","Fokker 70","Fokker 70ER","ATR 42-600","Dornier 328JET","Ilyushin Il-18","Bombardier DHC-8-100","Tupolev Tu-154","Sukhoi Superjet 100","Comac ARJ21","ATR 72-600","Embraer ERJ145","Tupolev Tu-204","Boeing 717-200","Embraer ERJ145XR","Bombardier DHC-8-200","Boeing 737-100","Fokker 100","Saab 2000","Bombardier DHC-8-300","Embraer EMB170-200","Boeing 727-200","Bombardier CRJ100","Embraer ERJ175","Boeing 737-400","Embraer ERJ170","Boeing 737-200","Embraer E175-E2","Boeing 737-300","Comac C919","BAe 146-200","Gulfstream G650ER","Bombardier CRJ200","Bombardier DHC-8-400","Ilyushin Il-86","Bombardier Q400","Boeing 737-500","Ilyushin Il-62","Bombardier CRJ900","Ilyushin Il-96-300","McDonnell Douglas MD-90","Lockheed L-1011-1","Embraer EMB190","Bombardier CRJ700","Airbus A300-600","Embraer E190-E2","Ilyushin 96-400","Airbus A310-200","Bombardier CRJ1000","McDonnell Douglas DC-8-50","Irkut MC-21-300","Boeing 737-600","Boeing 767-300","Boeing 757-300","Boeing 737-900","Boeing 737-800","McDonnell Douglas MD-81","Boeing 737-700","Embraer E195-E2","Mitsubishi MRJ-100","McDonnell Douglas DC-10-30","Mitsubishi MRJ-90","Boeing 737 MAX 8","Boeing 737-900ER","Airbus A321","Boeing 747-100","Lockheed L-1011-500","Tupolev Tu-144D","Boeing 747-200","McDonnell Douglas MD-11","Airbus A320neo","Bombardier CS100","Boeing 737-700ER","Airbus A319neo","Airbus A310-300","Boeing 737-700C","Boeing 767-200ER","Airbus A318","Boeing 737 MAX 7","Airbus A319","Bombardier CS300","Airbus A320","Boeing 777-300","Boeing 757-200","Airbus A340-600","Airbus A321neoXLR","Boeing 737 MAX 9","Airbus A321neoLR","Boeing 777-300ER","Boeing 747-300","Boeing 757-200ER","Boeing 767-400ER","Airbus A340-500","Boeing 747-400ER","Airbus A340-300","Airbus A330-200","Boeing 787-8 Dreamliner","Boeing 767-200","Boeing 737 MAX 10",Concorde,"Airbus A321neo","Airbus A340-200","Boeing 747-400","Boeing 787-9 Dreamliner","Airbus A330-300","Boeing 767-300ER","Airbus A330-800neo","Boeing 787-10 Dreamliner","Boeing 777-200ER","Boeing 747SP","Boeing 777-200LR","Airbus A350-900","Boeing 777-8","Airbus A350-900ULR","Boeing 777-200","Boeing 747-8i","Airbus A350-800","Airbus A330-900neo","Airbus A350-1000","Boeing 777-9","Airbus A380-800"
AeroExpat,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,129,0,0
"Just Go Travel Airways",435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalair,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fleet Services",560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,191,0,189,0,25
"American Pacific",565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,275,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0
BETAS,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,9,0,0,0,0,0,0
Flyght,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0
"Sky Chariot",548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,236,0,0,0,0,0,0
Plupi,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0
"Wiliams International",427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,29,0,0,0,0,0,0,0
