Airline,Total,"Cessna 421","Britten-Norman BN-2 Islander","Pilatus PC-12","Beechcraft Super King Air 200","Dassault Falcon 50","Cessna Caravan","Beechcraft 1900D","Let L-410UVP-E20","Let L-410NG","Britten-Norman MKIII Trislander","Yakovlev Yak-40","Bombardier DHC-6-400","Short 330-200","Bombardier Global 5000","Short 360-200","Cessna Citation X","Saab 340","Ilyushin Il-114-100","Dornier 328-110","Antonov An-140","Embraer EMB120 Brasilia","Ilyushin Il-114-300","Tupolev Tu-134","Antonov An148","CASA CN-235","Embraer ERJ140","Embraer ERJ135","Dornier 328JET","Bombardier DHC-8-100","Bombardier Global 7500","ATR 42-600","Ilyushin Il-18","Yakovlev Yak-42","Fokker 70","ATR 72-600","Tupolev Tu-154","Comac ARJ21","Fokker 70ER","Tupolev Tu-204","Saab 2000","Boeing 717-200","Bombardier DHC-8-200","Fokker 50","Sukhoi Superjet 100","Embraer ERJ145XR","Embraer ERJ145","Boeing 737-100","Boeing 737-200","Bombardier DHC-8-300","Embraer EMB170-200","Embraer ERJ175","Fokker 100","Embraer ERJ170","Boeing 737-300","Boeing 727-200","Bombardier CRJ100","Gulfstream G650ER","Bombardier CRJ200","Boeing 737-500","Embraer E175-E2","Boeing 737-400","Bombardier DHC-8-400","BAe 146-200","Ilyushin Il-86","Bombardier CRJ900","Bombardier Q400","Embraer EMB190","Airbus A300-600","Lockheed L-1011-1","Ilyushin Il-62","McDonnell Douglas MD-90","Ilyushin Il-96-300","Bombardier CRJ700","Comac C919","McDonnell Douglas DC-8-50","Embraer E190-E2","Ilyushin 96-400","Bombardier CRJ1000","McDonnell Douglas MD-81","Irkut MC-21-300","Boeing 757-300","Airbus A310-200","McDonnell Douglas MD-11","Boeing 737-800","Airbus A310-300","Mitsubishi MRJ-100","McDonnell Douglas DC-10-30","Boeing 737-600","Boeing 737-900","Embraer E195-E2","Boeing 767-300","Airbus A320","Boeing 737-700","Airbus A321","Mitsubishi MRJ-90","Boeing 737-900ER","Boeing 737 MAX 8","Tupolev Tu-144D","Boeing 747-200","Boeing 747-100","Bombardier CS100","Airbus A321neoLR","Boeing 737-700C","Airbus A320neo","Boeing 737 MAX 7","Airbus A319neo","Boeing 737-700ER","Airbus A318","Airbus A319","Boeing 767-200ER","Airbus A321neoXLR","Boeing 757-200ER","Bombardier CS300","Boeing 737 MAX 9","Lockheed L-1011-500","Airbus A340-600","Boeing 757-200","Boeing 747-400ER","Boeing 767-400ER","Airbus A340-200","Boeing 747-300","Airbus A330-200","Boeing 787-8 Dreamliner","Airbus A321neo","Boeing 737 MAX 10","Boeing 767-200","Airbus A340-300","Boeing 777-300ER","Airbus A330-300","Airbus A340-500","Boeing 747-400","Boeing 777-300","Boeing 777-200ER","Boeing 787-9 Dreamliner","Airbus A330-800neo","Boeing 777-200LR","Boeing 787-10 Dreamliner","Airbus A350-900","Airbus A350-900ULR",Concorde,"Boeing 767-300ER","Boeing 747SP","Boeing 747-8i","Airbus A350-800","Boeing 777-200","Airbus A330-900neo","Boeing 777-8","Airbus A350-1000","Boeing 777-9","Airbus A380-800"
"Air Chocobo",551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,309,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
"Starbux Airline",360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0
Asores,158,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,12,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Toast Airlines",372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Air Canada",455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,52,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grape Adventures Airways",185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,41,27,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saputnik,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,33,0,0
"Airfare Prime",302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,12,0,0,0,0,34,0,0,0,0,0,0,0,150,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Air Bavaria Express",274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0
"Legend Air Lines",125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
